Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
302,89.5954,89.0764,0.0174016,0.0249398
303,89.4558,89.25,0.0173643,0.029623
304,89.6014,88.5382,0.0173436,0.0336981
305,89.5572,89.1833,0.0175165,0.0254991
306,89.6299,89.1285,0.0175572,0.0286069
307,89.49,89.2271,0.0173308,0.023042
308,89.5646,88.2576,0.0174355,0.0382438
309,89.5174,89.0986,0.0172748,0.0257276
310,89.6097,89.2778,0.0173545,0.0204025
311,89.4896,88.4757,0.0173879,0.0309978
312,89.5988,89.55,0.0172537,0.0258011
313,89.5625,89.3903,0.0174944,0.0243385
314,89.5854,89.0222,0.017394,0.0367111
315,89.4593,89.3333,0.0174636,0.0257984
316,89.6995,89.3069,0.017413,0.0223133
317,89.6521,88.5167,0.0174375,0.0283407
318,89.3898,89.0715,0.0176192,0.0268916
319,89.6551,89.3167,0.0173019,0.0154297
320,89.6028,88.5944,0.0173354,0.0278648
321,89.4824,88.9521,0.0175099,0.0366529
322,89.5618,89.3889,0.017371,0.0223002
323,89.7081,88.9896,0.0171476,0.0234228
324,89.4426,87.5139,0.0175235,0.0559143
325,89.5187,88.4278,0.017445,0.041637
326,89.6424,88.9889,0.0172691,0.0278241
327,89.5637,89.0799,0.0175187,0.0247195
328,89.5958,88.5944,0.0174605,0.0265244
329,89.591,88.6597,0.0174592,0.0295631
330,89.6391,89.6035,0.0174668,0.0216061
331,89.675,89.2313,0.0173475,0.0236086
332,89.5255,88.5931,0.0171732,0.0267956
333,89.609,88.5812,0.017424,0.0335043
334,89.6368,88.9215,0.0170525,0.0338785
335,89.5859,89.0618,0.0174598,0.0247694
336,89.4817,89.2604,0.0173182,0.0213696
337,89.4806,89.5264,0.0175379,0.0219351
338,89.5558,89.6535,0.0175748,0.0199914
339,89.6185,89.1007,0.0174153,0.0330841
340,89.4796,88.1507,0.017756,0.0353256
341,89.585,89.4694,0.0173927,0.0192951
342,89.6206,89.4965,0.0171908,0.0227193
