Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
513,63.7553,62.975,0.00367713,0.00552096
514,63.8053,63.025,0.0036745,0.00552057
515,63.8553,63,0.00367187,0.00552017
516,63.9053,63.075,0.00366926,0.00551978
517,63.947,63.125,0.00366666,0.00551938
518,63.947,63.1,0.00366407,0.00551897
519,63.9637,63.125,0.0036615,0.00551857
520,63.9803,63.15,0.00365893,0.00551816
521,64.0053,63.15,0.00365638,0.00551775
522,64.0053,63.2,0.00365384,0.00551733
523,64.022,63.2,0.00365131,0.00551692
524,64.0387,63.25,0.00364879,0.0055165
525,64.0303,63.25,0.00364628,0.00551608
526,64.0553,63.25,0.00364378,0.00551565
527,64.0387,63.25,0.00364129,0.00551523
528,64.0053,63.275,0.00363881,0.0055148
529,64.047,63.3,0.00363634,0.00551438
530,64.0637,63.3,0.00363388,0.00551395
531,64.0637,63.325,0.00363144,0.00551352
532,64.0637,63.3,0.003629,0.00551309
533,64.0637,63.3,0.00362657,0.00551266
534,64.122,63.275,0.00362416,0.00551222
535,64.1303,63.325,0.00362175,0.00551179
536,64.1303,63.325,0.00361935,0.00551136
537,64.122,63.3,0.00361696,0.00551092
538,64.1637,63.275,0.00361458,0.00551048
539,64.172,63.325,0.00361221,0.00551005
540,64.197,63.375,0.00360985,0.00550961
541,64.197,63.4,0.0036075,0.00550917
542,64.222,63.4,0.00360516,0.00550873
543,64.2054,63.4,0.00360282,0.00550829
544,64.247,63.4,0.0036005,0.00550785
545,64.2637,63.375,0.00359818,0.00550741
546,64.2887,63.325,0.00359587,0.00550696
547,64.3387,63.35,0.00359357,0.00550652
548,64.347,63.375,0.00359128,0.00550608
549,64.3387,63.375,0.003589,0.00550564
550,64.3637,63.375,0.00358672,0.00550519
551,64.3804,63.375,0.00358445,0.00550475
552,64.397,63.45,0.00358219,0.0055043
553,64.4137,63.45,0.00357994,0.00550385
554,64.4304,63.475,0.0035777,0.00550341
555,64.4304,63.475,0.00357546,0.00550296
556,64.472,63.45,0.00357323,0.00550251
557,64.447,63.5,0.00357101,0.00550206
558,64.447,63.575,0.00356879,0.00550161
559,64.447,63.575,0.00356658,0.00550116
560,64.4637,63.6,0.00356438,0.00550071
561,64.4804,63.625,0.00356219,0.00550026
562,64.472,63.6,0.00356,0.00549981
563,64.5054,63.55,0.00355782,0.00549936
564,64.5637,63.65,0.00355565,0.00549891
565,64.5637,63.675,0.00355348,0.00549845
566,64.6137,63.675,0.00355132,0.005498
567,64.6304,63.7,0.00354917,0.00549754
568,64.6221,63.675,0.00354702,0.00549709
569,64.6554,63.675,0.00354488,0.00549663
570,64.6804,63.675,0.00354274,0.00549618
571,64.6971,63.7,0.00354061,0.00549572
572,64.7054,63.675,0.00353849,0.00549527
573,64.7137,63.7,0.00353638,0.00549481
574,64.7471,63.7,0.00353427,0.00549435
575,64.7804,63.7,0.00353216,0.0054939
576,64.8387,63.7,0.00353006,0.00549344
577,64.8304,63.7,0.00352797,0.00549298
578,64.8804,63.725,0.00352589,0.00549253
579,64.9387,63.775,0.00352381,0.00549207
580,64.9554,63.775,0.00352173,0.00549161
581,64.9721,63.775,0.00351966,0.00549115
582,65.0138,63.85,0.0035176,0.0054907
583,65.0388,63.875,0.00351554,0.00549024
584,65.0471,63.9,0.00351349,0.00548978
585,65.0804,63.875,0.00351144,0.00548933
586,65.0971,63.925,0.0035094,0.00548887
587,65.0888,63.9,0.00350736,0.00548841
588,65.0971,63.925,0.00350533,0.00548796
589,65.0971,63.975,0.0035033,0.0054875
590,65.0971,64,0.00350128,0.00548705
591,65.1054,64.025,0.00349926,0.0054866
592,65.1304,64.05,0.00349725,0.00548614
593,65.1304,64.05,0.00349524,0.00548569
594,65.1388,64.1,0.00349324,0.00548524
595,65.1388,64.1,0.00349125,0.00548479
596,65.1721,64.1,0.00348925,0.00548434
597,65.1971,64.1,0.00348726,0.00548389
598,65.1804,64.15,0.00348528,0.00548344
599,65.2138,64.15,0.0034833,0.005483
600,65.2304,64.2,0.00348133,0.00548255
601,65.2638,64.25,0.00347936,0.00548211
602,65.2888,64.3,0.00347739,0.00548166
603,65.2971,64.25,0.00347543,0.00548122
